id,full_name,address_he,kibbutz_name,category,recycle_bins,coordinate,lat,lon,link_waze,link_gmaps,last_update
RC-017,מרכז מחזור - להבות הבשן,מפוזר באיזור הכלבו,להבות הבשן  ,מרכזי מחזור,"עיתון, קרטוניה, זכוכית, טקסטיל, פח ירוק, פח חום, פח כתום, אלקטרוניקה","33°08'26.1""N 35°38'48.7""E",33.14058333,35.64686111,"https://waze.com/ul?ll=33.140583,35.646861&navigate=yes","https://www.google.com/maps?q=33.140583,35.646861",26/11/2025
RC-018,מרכז מחזור - מחניים,חנייה ליד הכלבו,מחניים ,מרכזי מחזור,"עיתון, קרטוניה, זכוכית, טקסטיל, פח ירוק, פח חום, פח כתום, אלקטרוניקה","32°59'16.8""N 35°34'14.3""E",32.988,35.57063889,"https://waze.com/ul?ll=32.988000,35.570639&navigate=yes","https://www.google.com/maps?q=32.988000,35.570639",26/11/2025
RC-019,מרכז מחזור - מלכיה,חנייה ליד הכלבו,מלכיה  ,מרכזי מחזור,"עיתון, קרטוניה, זכוכית, טקסטיל, פח ירוק, פח חום, פח כתום","33°05'56.1""N 35°30'43.8""E",33.09891667,35.51216667,"https://waze.com/ul?ll=33.098917,35.512167&navigate=yes","https://www.google.com/maps?q=33.098917,35.512167",26/11/2025
RC-020,מרכז מחזור - מנרה,חנייה ליד חדר האוכל,מנרה ,מרכזי מחזור,"עיתון, קרטוניה, זכוכית, טקסטיל, פח ירוק, פח חום, פח כתום, אלקטרוניקה","33°11'46.3""N 35°32'35.7""E",33.19619444,35.54325,"https://waze.com/ul?ll=33.196194,35.543250&navigate=yes","https://www.google.com/maps?q=33.196194,35.543250",26/11/2025
RC-021,מרכז מחזור - מעיין ברוך,ליד הבריכה,מעיין ברוך ,מרכזי מחזור,"עיתון, קרטוניה, זכוכית, טקסטיל, פח ירוק, פח חום, פח כתום","33°14'19.8""N 35°36'24.5""E",33.23883333,35.60680556,"https://waze.com/ul?ll=33.238833,35.606806&navigate=yes","https://www.google.com/maps?q=33.238833,35.606806",26/11/2025
RC-022,מרכז מחזור - משגב עם,מפוזר באיזור המועדון לחבר,משגב עם ,מרכזי מחזור,"עיתון, פח חום, פח ירוק, פח כתום, זכוכית, טקסטיל","33°14'54.1""N 35°32'55.3""E",33.24836111,35.54869444,"https://waze.com/ul?ll=33.248361,35.548694&navigate=yes","https://www.google.com/maps?q=33.248361,35.548694",26/11/2025
RC-023,מרכז מחזור - נאות מרדכי,חנייה אחורית של חדר האוכל,נאות מרדכי ,מרכזי מחזור,"עיתון, קרטוניה, אלקטרוניקה, זכוכית, טקסטיל, פח ירוק, פח כתום, פח חום","33°09'34.7""N 35°35'45.4""E",33.15963889,35.59594444,"https://waze.com/ul?ll=33.159639,35.595944&navigate=yes","https://www.google.com/maps?q=33.159639,35.595944",26/11/2025
RC-024,מרכז מחזור - סאסא,"שמאלה בכיכר בכניסה, מצד שמאל",סאסא  ,מרכזי מחזור,"עיתון, קרטוניה, זכוכית, טקסטיל, פח ירוק, פח חום, פח כתום, אלקטרוניקה","33°01'30.2""N 35°23'28.8""E",33.02505556,35.39133333,"https://waze.com/ul?ll=33.025056,35.391333&navigate=yes","https://www.google.com/maps?q=33.025056,35.391333",26/11/2025
RC-025,מרכז מחזור - עמיעד,מאחורי הכלבו,עמיעד ,מרכזי מחזור,"עיתון, קרטוניה, זכוכית, טקסטיל, פח ירוק, פח חום, פח כתום","32°55'38.2""N 35°32'25.0""E",32.92727778,35.54027778,"https://waze.com/ul?ll=32.927278,35.540278&navigate=yes","https://www.google.com/maps?q=32.927278,35.540278",26/11/2025
RC-026,מרכז מחזור - עמיר,חנייה אחורית של חדר האוכל,עמיר ,מרכזי מחזור,"קרטוניה, פח חום, פח ירוק, פח כתום","33°10'43.7""N 35°37'18.2""E",33.17880556,35.62172222,"https://waze.com/ul?ll=33.178806,35.621722&navigate=yes","https://www.google.com/maps?q=33.178806,35.621722",26/11/2025
RC-027,מרכז מחזור  - צבעון,אחרי הכיכר בכניסה מצד ימין,צבעון ,מרכזי מחזור,"עיתון, קרטוניה, זכוכית, טקסטיל, פח ירוק, פח כתום","33°01'26.5""N 35°25'00.6""E",33.02402778,35.41683333,"https://waze.com/ul?ll=33.024028,35.416833&navigate=yes","https://www.google.com/maps?q=33.024028,35.416833",26/11/2025
RC-028,מרכז מחזור  - קדרים,ליד תחנת האוטובוס שבמזכירות,קדרים ,מרכזי מחזור,"עיתון, קרטוניה, זכוכית, טקסטיל, פח ירוק, פח חום, פח כתום","32°53'57.5""N 35°28'24.0""E",32.89930556,35.47333333,"https://waze.com/ul?ll=32.899306,35.473333&navigate=yes","https://www.google.com/maps?q=32.899306,35.473333",26/11/2025
RC-029,מרכז מחזור - שדה נחמיה,הרחבה,שדה נחמיה  ,מרכזי מחזור,"עיתון, קרטוניה, זכוכית, פח ירוק, פח חום, פח כתום","33°11'20.2""N 35°37'35.8""E",33.18894444,35.62661111,"https://waze.com/ul?ll=33.188944,35.626611&navigate=yes","https://www.google.com/maps?q=33.188944,35.626611",26/11/2025
RC-030,מרכז מחזור - שדה נחמיה, מול גרדניה,שדה נחמיה  ,מרכזי מחזור,"טקסטיל,אלקטרוניקה,עיתון,פח כתום,פח ירוק,פח חום","33°11'17.1""N 35°37'22.7""E",33.18808333,35.62297222,"https://waze.com/ul?ll=33.188083,35.622972&navigate=yes","https://www.google.com/maps?q=33.188083,35.622972",26/11/2025
RC-031,מרכז מחזור - שמיר,חנייה אחורית של חדר האוכל,שמיר ,מרכזי מחזור,"עיתון, קרטוניה, אלקטרוניקה, זכוכית,טקסטיל, פח ירוק, פח כתום",,33.16509396,35.66043509,"https://waze.com/ul?ll=33.165094,35.660435&navigate=yes","https://www.google.com/maps?q=33.165094,35.660435",26/11/2025
RC-032,מרכז מחזור - שניר,ליד התחנת דלק והמוסך,שניר ,מרכזי מחזור,"עיתון, קרטוניה, אלקטרוניקה, זכוכית, טקסטיל, פח ירוק, פח כתום","33°14'22.0""N 35°40'46.1""E",33.23944444,35.67947222,"https://waze.com/ul?ll=33.239444,35.679472&navigate=yes","https://www.google.com/maps?q=33.239444,35.679472",26/11/2025
RC-033,מרכז מחזור - שניר,"על גדר המערכת, ליד הלול",שניר ,מרכזי מחזור,אתר גזם בלבד,"33°14'13.1""N 35°40'34.1""E",33.23697222,35.67613889,"https://waze.com/ul?ll=33.236972,35.676139&navigate=yes","https://www.google.com/maps?q=33.236972,35.676139",26/11/2025
