id,full_name,kibbutz_name,playground_name,playground_number,site_number,Permit_number,category,subcategory,coordinate,lat,lon,link_waze,link_gmaps,equipment,equipment_number,surface,last_update_iso,status,certificate_expiry,certificate_expiry_iso,days_to_expire,kibbutz_list,,,,,,,
PG-011,"שצ""פ 10 בתי ילדים גונן",גונן,בתי ילדים,10,9288230,113702,גן ציבורי,"שצ""פ","33.1238775, 35.6474398",33.1238775,35.6474398,"https://waze.com/ul?ll=33.123878,35.647440&navigate=yes","https://www.google.com/maps?q=33.123878,35.647440","אחר חצובה מתכת עם מושבים שטוחים מגומי, מתקן משולב ממתכת בעל 2 מגדלים, מתקן משולב ממתכת בעל 2 מגדלים, מתקן נענוע קפיץ ספירלי, חצובה מתכת עם מושב קן לציפור מכבלים ומושב שטוח מגומי",7,"דשא, חצץ",2025-10-23,גן תקין,29/12/2025,2025-12-29,54,כפר בלום ,,,,,,,
PG-012,גן 11 ציבורי מרכז הקיבוץ דן,דן,ציבורי מרכז הקיבוץ,11,7478069,113702,גן ציבורי,"שצ""פ","33.2400483, 35.6525569",33.2400483,35.6525569,"https://waze.com/ul?ll=33.240048,35.652557&navigate=yes","https://www.google.com/maps?q=33.240048,35.652557","חצובת נדנדות עם מושב שטוח מגומי,מושב קן לציפור ומושב עריסה מגומי, מתקן קן נשרים מכבלים, שני מתנין נענוע קפיץ ספירלי, מתקן עלה ורד קפיצים, מתקן משולב ממתכת בעל מגדל אחד, מתקן חצובת נדנדה עם מושבים שטוחים מגומי, מתקן משפך סל, מתקן עלה ורד עמידה, נענוע קפיץ ספירלי 4 מושבים , מתקן קרוסלה לפעוטות , נענוע קפיץ ספירלי , נענוע קפיץ ספירלי , מתקן עלה ורד , משולב ממתכת בעל 2 מגדלים",17,דשא,2025-10-26,גן תקין,23/12/2025,2025-12-23,48,כפר גלעדי ,,,,,,,
PG-013,"שצ""פ 67 ליד חדר אוכל דפנה",דפנה,ליד חדר אוכל,67,8376888,113702,גן ציבורי,"שצ""פ","33.2295113, 35.6382443",33.2295113,35.6382443,"https://waze.com/ul?ll=33.229511,35.638244&navigate=yes","https://www.google.com/maps?q=33.229511,35.638244","חצובת נדנדות עם מושב עריסה מגומי ומושב שטוח מגומי, מכונית נענוע קפיצים, קן נשרים מכבלים, חצובת נדנדות עם מושב שטוח מגומי ומושב קן לציפור, עלה ורד קפיצים, נענוע קפיץ ספירלי ""חתול"", נענוע קפיץ ספירלי, משולב מעץ בעל 3 מגדלים",10,"חצץ, דשא",2025-10-26,גן תקין,23/12/2025,2025-12-23,48,כפר הנשיא ,,,,,,,
PG-014,"שצ""פ 14 נרקיס הגושרים",הגושרים,נרקיס,14,2554859,113702,גן ציבורי,"שצ""פ","33.2213062, 35.6233967",33.2213062,35.6233967,"https://waze.com/ul?ll=33.221306,35.623397&navigate=yes","https://www.google.com/maps?q=33.221306,35.623397","שלט אתר, שטח כיסוי חצץ, חצובת נדנדה עם מושבים שטוחים מגומי, קרוסלה לפעוטות, שני מתקני נענוע קפיץ ספירלי, עלה ורד, קרוסלה עגולה, משולב ממתכת בעל 2 מגדלים, משפך סל",10,חצץ,2025-10-26,גן תקין,23/12/2025,2025-12-23,48,כפר סאלד ,,,,,,,
PG-015,"שצ""פ 65 נרקיס 2 הגושרים",הגושרים,נרקיס 2,65,6579181,113702,גן ציבורי,"שצ""פ","33.2213037, 35.6232489",33.2213037,35.6232489,"https://waze.com/ul?ll=33.221304,35.623249&navigate=yes","https://www.google.com/maps?q=33.221304,35.623249","שלט אתר, שטח כיסוי דשא סינטטי, חצובת נדנדות עם מושב שטוח מגומי,מושב קן לציפור ומושב עריסה מגומי , מתח , נענוע דמוי פרח , מקבילים,  קורת נענוע, קרוסלה עגולה , קרוסלה לפעוטות, משולב ממתכת בעל 2 מגדלים ",10,דשא,2025-10-26,גן תקין,23/12/2025,2025-12-23,48,להבות הבשן  ,,,,,,,
PG-016,"שצ""פ 72 הגושרים הגושרים",הגושרים,הגושרים,72,4746395,113702,גן ציבורי,"שצ""פ","33.2210145, 35.618791",33.2210145,35.618791,"https://waze.com/ul?ll=33.221015,35.618791&navigate=yes","https://www.google.com/maps?q=33.221015,35.618791","חצובת נדנדות עם מושבים שטוחים מגומי ומושב קן לציפור, משולב מעץ בעל 2 מגדלים, משולב מעץ בעל 3 מגדלים ",5,דשא,2025-10-26,גן תקין,23/12/2025,2025-12-23,48,מחניים ,,,,,,,
PG-063,גן 81 ילדים מעון תינוקות הגושרים,הגושרים,ילדים מעון תינוקות,81,5282892,113701,מבנה חינוך,גן ילדים,"33.2201446, 35.6234275",33.2201446,35.6234275,"https://waze.com/ul?ll=33.220145,35.623428&navigate=yes","https://www.google.com/maps?q=33.220145,35.623428",מתקן זחילה לתינוקות,1,דשא,2025-10-26,גן תקין,09/06/2026,2026-06-09,216,,,,,,,,
PG-064,גן 82 ילדים מעון ביניים הגושרים,הגושרים,ילדים מעון ביניים,82,1427342,113701,מבנה חינוך,גן ילדים,"33.2201302, 35.6232026",33.2201302,35.6232026,"https://waze.com/ul?ll=33.220130,35.623203&navigate=yes","https://www.google.com/maps?q=33.220130,35.623203",משולב,1,דשא,2025-10-26,גן תקין,09/06/2026,2026-06-09,216,,,,,,,,
PG-065,גן 83 ילדים מעון בוגרים הגושרים,הגושרים,ילדים מעון בוגרים,83,9958867,113701,מבנה חינוך,גן ילדים,"33.2208738, 35.623065",33.2208738,35.623065,"https://waze.com/ul?ll=33.220874,35.623065&navigate=yes","https://www.google.com/maps?q=33.220874,35.623065",משולב,1,דשא,2025-10-26,גן תקין,09/08/2026,2026-08-09,277,,,,,,,,
PG-017,"שצ""פ 15 ניצן חולתה",חולתה,ניצן,15,5267416,113702,גן ציבורי,"שצ""פ","33.0512757, 35.6094601",33.0512757,35.6094601,"https://waze.com/ul?ll=33.051276,35.609460&navigate=yes","https://www.google.com/maps?q=33.051276,35.609460","קרוסלה לפעוטות, קן נשרים מכבלים, שני מתקני נענוע קפיץ ספירלי, עלה ורד קפיצים, חצובה מתכת עם מושב קן לציפור מכבלים, ומושבים שטוחים מגומי, משולב ממתכת בעל מגדל אחד ",9,דשא,2025-10-23,גן תקין,24/08/2025,2025-08-24,-73,מלכיה  ,,,,,,,
