id,full_name,kibbutz_name,playground_name,playground_number,site_number,Permit_number,category,subcategory,coordinate,lat,lon,link_waze,link_gmaps,equipment,equipment_number,surface,last_update_iso,status,certificate_expiry,certificate_expiry_iso,days_to_expire,kibbutz_list,,,,,,,
PG-043,"שצ""פ 39 בריכת שחיה נאות מרדכי",נאות מרדכי,בריכת שחיה,39,3452650,113702,גן ציבורי,"שצ""פ","33.1614222, 35.5961721",33.1614222,35.5961721,"https://waze.com/ul?ll=33.161422,35.596172&navigate=yes","https://www.google.com/maps?q=33.161422,35.596172","משפך סל, עלה ורד, נענוע קפיץ ספירלי, חצובה מתכת עם מושבים שטוחים ועריסה מגומי, שני מתקני נענוע קפיץ ספירלי, משולב ממתכת בעל 2 מגדלים ",9,גומי,2025-10-23,גן תקין,24/08/2025,2025-08-24,-73,,,,,,,,
PG-044,"בי""ס 62 לב העמק נאות מרדכי",נאות מרדכי,לב העמק,62,1621371,113701,מבנה חינוך,בית ספר,"33.162307, 35.5972595",33.162307,35.5972595,"https://waze.com/ul?ll=33.162307,35.597260&navigate=yes","https://www.google.com/maps?q=33.162307,35.597260","מתקן אולימפוס, משפך סל, גלגל רץ, גלגל רץ, קורת נענוע",7,דשא,2025-10-23,גן תקין,24/08/2025,2025-08-24,-73,,,,,,,,
PG-045,"שצ""פ 68 ליד גני ילדים נאות מרדכי",נאות מרדכי,ליד גני ילדים,68,0722314,113702,גן ציבורי,"שצ""פ","33.1614246, 35.5963107",33.1614246,35.5963107,"https://waze.com/ul?ll=33.161425,35.596311&navigate=yes","https://www.google.com/maps?q=33.161425,35.596311","מתקן מתח, חצובה מתכת עם מושב קן לציפור מכבלים ומושבי עריסה מגומי, קן נשרים מכבלים, קורת שיווי משקל מתכת בצורת זיגזג, משולב מעץ בעל מגדל אחד ",7,דשא,2025-10-23,גן תקין,24/08/2026,2026-08-24,292,,,,,,,,
PG-046,"שצ""פ 41 גני הילדים פעוטות סאסא",סאסא,גני הילדים פעוטות,41,7955721,113702,גן ציבורי,"שצ""פ","33.0276697, 35.3943536",33.0276697,35.3943536,"https://waze.com/ul?ll=33.027670,35.394354&navigate=yes","https://www.google.com/maps?q=33.027670,35.394354","משולב ממתכת, מתקן מכונית, נענוע קפיץ ספירלי , נענוע קפיץ ספירלי , מנהרת זחילה ",7,דשא,2025-10-26,גן תקין,22/12/2025,2025-12-22,47,,,,,,,,
PG-060,"בי""ס 63 נוף הרים סאסא",סאסא,נוף הרים,63,4073503,113701,מבנה חינוך,בית ספר,"33.0275786, 35.3941963",33.0275786,35.3941963,"https://waze.com/ul?ll=33.027579,35.394196&navigate=yes","https://www.google.com/maps?q=33.027579,35.394196"," מעבר ידיים כפול ממתכת, גלגל - רץ , זוג שפורפרות ממתכת, חצובת עם חבל טיפוס, חצובת נדנדה עם מושב קן לציפור, חצובת נדנדה עם מושבים שטוחים מגומי, משולב ממתכת בעל 3 מגדלים",9,דשא,2025-10-26,גן תקין,22/12/2025,2025-12-22,47,,,,,,,,
PG-047,"שצ""פ 43 חדר אוכל עמיעד",עמיעד,חדר אוכל,43,4760485,113702,גן ציבורי,"שצ""פ","32.9278738, 35.5413015",32.9278738,35.5413015,"https://waze.com/ul?ll=32.927874,35.541302&navigate=yes","https://www.google.com/maps?q=32.927874,35.541302","נענוע קפיץ ספירלי, נענוע חתול, נענוע קפיץ ספירלי ""חתול"", משולב ממתכת בעל 3 מגדלים, משולב ממתכת בעל 4 מגדלים, חצובת נדנדה עם מושבים שטוחים מגומי",8,דשא,2025-10-23,גן תקין,23/12/2025,2025-12-23,48,,,,,,,,
PG-066,"שצ""פ 84 הרחבה עמיעד",עמיעד,הרחבה,84,1042212,113702,גן ציבורי,"שצ""פ","32.931166, 35.5413094",32.931166,35.5413094,"https://waze.com/ul?ll=32.931166,35.541309&navigate=yes","https://www.google.com/maps?q=32.931166,35.541309","מתקן מטאליק 2000 פניקס נגיש, מתקן משולב בית הפלאים לפעוטות נגיש, נדנדה",3,דשא,2025-10-23,גן תקין,22/07/2026,2026-07-22,259,,,,,,,,
PG-048,"שצ""פ 45 ליד גני הילדים עמיר",עמיר,ליד גני הילדים,45,6329683,113702,גן ציבורי,"שצ""פ","33.1779415, 35.6209026",33.1779415,35.6209026,"https://waze.com/ul?ll=33.177942,35.620903&navigate=yes","https://www.google.com/maps?q=33.177942,35.620903","שני מתקני נענוע קפיץ ספירלי,עלה ורד, קן נשרים מכבלים, משולב ממתכת בעל 3 מגדלים, חצובה מתכת עם מושב קן לציפור מכבלים, מושבים שטוחים ומושבי עריסה",8,דשא,2025-10-23,גן תקין,29/12/2025,2025-12-29,54,,,,,,,,
PG-049,"שצ""פ 46 חורשת המייסדים עמיר",עמיר,חורשת המייסדים,46,8322300,113702,גן ציבורי,"שצ""פ","33.1812504, 35.6183919",33.1812504,35.6183919,"https://waze.com/ul?ll=33.181250,35.618392&navigate=yes","https://www.google.com/maps?q=33.181250,35.618392","משולב מעץ בעל מגדל אחד , נענוע קפיץ ספירלי , קרוסלה עגולה , חצובה T מתכת עם מושבים שטוח ועריסה מגומי",6,גומי,2025-10-23,גן תקין,25/08/2025,2025-08-25,-72,,,,,,,,
PG-050,"שצ""פ 78 בכניסה שטח מערבי צבעון",צבעון,בכניסה שטח מערבי,78,7932476,113702,גן ציבורי,"שצ""פ","33.024192, 35.4160177",33.024192,35.4160177,"https://waze.com/ul?ll=33.024192,35.416018&navigate=yes","https://www.google.com/maps?q=33.024192,35.416018",משולב מעץ בעל 2 מגדלים ,3,גומי,2025-10-26,גן תקין,22/12/2025,2025-12-22,47,,,,,,,,
PG-051,"שצ""פ 47 מרכז הקיבוץ קדרים",קדרים,מרכז הקיבוץ,47,2468755,113702,גן ציבורי,"שצ""פ","32.8986855, 35.4735685",32.8986855,35.4735685,"https://waze.com/ul?ll=32.898686,35.473569&navigate=yes","https://www.google.com/maps?q=32.898686,35.473569","קרוסלה עגולה, גלגל - רץ, משולב מעץ בעל מגדל אחד,  נענוע קפיץ ספירלי, עלה ורד, חצובה מתכת עם מושבים שטוחים ועריסה מגומי,  מתקן 4 הגאים מעץ, קורת נענוע, מסלול אקסטרים מתכת וכבלים, משולב מעץ בעל 2 מגדלים",14,"דשא, חצץ",2025-10-23,גן תקין,24/08/2025,2025-08-24,-73,,,,,,,,
PG-052,"שצ""פ 48 גן קורות שדה נחמיה",שדה נחמיה,גן קורות,48,6541164,113702,גן ציבורי,"שצ""פ","33.1887318, 35.6220717",33.1887318,35.6220717,"https://waze.com/ul?ll=33.188732,35.622072&navigate=yes","https://www.google.com/maps?q=33.188732,35.622072","פיל קפיץ ,עלה ורד, משולב ",7,דשא,2025-10-23,גן תקין,25/08/2026,2026-08-25,293,,,,,,,,
PG-061,"שצ""פ 50 הרחבה שדה נחמיה",שדה נחמיה,הרחבה,50,2619664,113702,גן ציבורי,"שצ""פ","33.1877584, 35.6265165",33.1877584,35.6265165,"https://waze.com/ul?ll=33.187758,35.626517&navigate=yes","https://www.google.com/maps?q=33.187758,35.626517","נענוע קפיץ ספירלי, נענוע קפיץ ספירלי, חצובה T מתכת עם מושבים שטוחים מגומי, משולב ממתכת בעל מגדל אחד",6,דשא,2025-10-23,גן תקין,25/08/2025,2025-08-25,-72,,,,,,,,
PG-062,"שצ""פ 77 המסלול שדה נחמיה",שדה נחמיה,המסלול,77,1807272,113702,גן ציבורי,גינת כושר,"33.1851653, 35.6275743",33.1851653,35.6275743,"https://waze.com/ul?ll=33.185165,35.627574&navigate=yes","https://www.google.com/maps?q=33.185165,35.627574","מסלול נינג'ה עם - סטפר, גשר בורמזי, דלתות גבינה, קורה מרחפת, הליכת עכביש, גלגל, מסלול נינג'ה המשך - גל תנופה, מתקן פונקציונלי חבלים, מתקן מכשול טיפוס, קורת שיווי משקל משופעת, רשת כבלים אופקית, מדרגות קפיצה בגבהים שונים, מתקן פונקציונלי, מקבילים, מקבילים, קיקבוקס, מדרגת קפיצה נעה ",23,דשא,2025-10-23,גן תקין,25/08/2025,2025-08-25,-72,,,,,,,,
PG-053,"שצ""פ 51 פעוטים שמיר",שמיר,פעוטים,51,4145015,113702,גן ציבורי,"שצ""פ","33.1661287, 35.6600462",33.1661287,35.6600462,"https://waze.com/ul?ll=33.166129,35.660046&navigate=yes","https://www.google.com/maps?q=33.166129,35.660046","משולב ממתכת בעל מגדל אחד, מתקן קטר מעץ, מנהרת זחילה, משולב מעץ בעל מגדל אחד, מתקן טרקטור, מתקן שפורפרות קול,  נענוע קפיץ ספירלי, נענוע קפיץ ספירלי, מתקן מכונית, מתקן עלה ורד ",13,"דשא, גומי",2025-10-23,גן תקין,29/12/2025,2025-12-29,54,,,,,,,,
PG-054,"שצ""פ 52 גנים שמיר",שמיר,גנים,52,1072370,113702,גן ציבורי,"שצ""פ","33.1659009, 35.6599633",33.1659009,35.6599633,"https://waze.com/ul?ll=33.165901,35.659963&navigate=yes","https://www.google.com/maps?q=33.165901,35.659963","מתקן אקסטרים מתכת, קרוסלה משטחית משופעת פלסטיק, מתקן סביבוני עמידה מתכת עם מושב פלסטיק, חצובה מתכת עם מושב קן לציפור מכבלים, חצובה מתכת עם מושבים שטוחים מגומי, חצובה מתכת עם מושבי עריסה מגומי, מתקן טיפוס עם מאחזים ",8,גומי,2025-10-23,גן תקין,24/08/2026,2026-08-24,292,,,,,,,,
PG-055,"שצ""פ 53 הרחבה שמיר",שמיר,הרחבה,53,3769042,113702,גן ציבורי,"שצ""פ","33.1696382, 35.6602034",33.1696382,35.6602034,"https://waze.com/ul?ll=33.169638,35.660203&navigate=yes","https://www.google.com/maps?q=33.169638,35.660203","חצובה מתכת עם מושב קן לציפור מכבלים,ומושבים שטוח ועריסה מגומי ,נענוע קפיץ ספירלי, סביבון, עלה ורד, נענוע קפיץ ספירלי, משולב ממתכת בעל 2 מגדלים",8,דשא,2025-10-23,גן תקין,24/08/2026,2026-08-24,292,,,,,,,,
PG-056,"שצ""פ 54 הבריכה שמיר",שמיר,הבריכה,54,8782336,113702,גן ציבורי,"שצ""פ","33.1686657, 35.6597475",33.1686657,35.6597475,"https://waze.com/ul?ll=33.168666,35.659748&navigate=yes","https://www.google.com/maps?q=33.168666,35.659748","נענוע קפיץ ספירלי, חצובה T מתכת עם מושבים שטוח ועריסה מגומי, נענוע קפיץ ספירלי, משולב ממתכת בעל 2 מגדלים, עלה ורד ",7,דשא,2025-10-23,גן תקין,24/08/2025,2025-08-24,-73,,,,,,,,
PG-057,"שצ""פ 55 שניר שניר",שניר,שניר,55,9001262,113702,גן ציבורי,"שצ""פ","33.2395792, 35.6775058",33.2395792,35.6775058,"https://waze.com/ul?ll=33.239579,35.677506&navigate=yes","https://www.google.com/maps?q=33.239579,35.677506","עלה ורד, משולב ממתכת בעל מגדל אחד, חצובת נדנדה עם מושבי עריסה מגומי, קרוסלה עגולה, נענוע קפיץ ספירלי 4 מושבים, שני מתקני נענוע קפיץ ספירלי, חצובת נדנדה כורסא מעץ, חצובת נדנדה עם מושבים שטוחים מגומי, עלה ורד, משולב ממתכת בעל 2 מגדלים ",13,דשא,2025-10-26,גן תקין,22/12/2025,2025-12-22,47,,,,,,,,
PG-058,"שצ""פ 56 הרחבה שניר",שניר,הרחבה,56,1217654,113702,גן ציבורי,"שצ""פ","33.2438462, 35.6783558",33.2438462,35.6783558,"https://waze.com/ul?ll=33.243846,35.678356&navigate=yes","https://www.google.com/maps?q=33.243846,35.678356","חצובת נדנדות עם מושבים שטוחים מגומי ומושב עריסה מגומי, קרוסלה עגולה, חצובת נדנדה נגיש מכבלים, שני מתקני נענוע קפיץ ספירלי, משולב ממתכת בעל מגדל אחד, קן נשרים מכבלים, משולב ממתכת בעל 2 מגדלים",10,דשא,2025-10-26,גן תקין,23/12/2025,2025-12-23,48,,,,,,,,
